group	tag	smolt.year	date.M	length.M	date.R	length.R	time.MR	growth	growth.rate
fall	3D9.1BF0DE586C	2002	8/21/2001	74	4/22/2002	112	244	38	0.155737705
fall	3D9.1BF0DE5E2D	2002	8/17/2001	67	5/23/2002	117	279	50	0.17921147
fall	3D9.1BF0DE6626	2002	8/21/2001	70	5/2/2002	115	254	45	0.177165354
fall	3D9.1BF0DE6693	2002	8/17/2001	60	5/5/2002	94	261	34	0.130268199
fall	3D9.1BF0DE6811	2002	8/21/2001	73	5/15/2002	111	267	38	0.142322097
fall	3D9.1BF0DE6DA1	2002	8/21/2001	74	5/13/2002	95	265	21	0.079245283
fall	3D9.1BF0DE71B5	2002	8/13/2001	88	5/30/2002	133	290	45	0.155172414
fall	3D9.1BF0DE7251	2002	8/21/2001	74	5/4/2002	106	256	32	0.125
fall	3D9.1BF0DE72E3	2002	8/21/2001	81	4/20/2002	114	242	33	0.136363636
fall	3D9.1BF0DE77B1	2002	8/21/2001	74	5/23/2002	115	275	41	0.149090909
fall	3D9.1BF0DE78D2	2002	8/21/2001	67	4/24/2002	105	246	38	0.154471545
fall	3D9.1BF0DE7A7B	2002	8/21/2001	73	5/30/2002	115	282	42	0.14893617
fall	3D9.1BF0DE80F9	2002	8/21/2001	71	5/8/2002	105	260	34	0.130769231
fall	3D9.1BF0DE819A	2002	8/21/2001	86	5/6/2002	122	258	36	0.139534884
fall	3D9.1BF0DE8458	2002	8/21/2001	86	5/6/2002	117	258	31	0.120155039
fall	3D9.1BF0DE855B	2002	8/21/2001	71	4/30/2002	100	252	29	0.115079365
fall	3D9.1BF0DE85CE	2002	8/22/2001	84	5/4/2002	118	255	34	0.133333333
fall	3D9.1BF0DE8979	2002	8/17/2001	65	6/2/2002	106	289	41	0.141868512
fall	3D9.1BF0DE8BB0	2002	8/22/2001	80	4/28/2002	105	249	25	0.100401606
fall	3D9.1BF0DE8BB7	2002	8/24/2001	70	5/2/2002	105	251	35	0.139442231
fall	3D9.1BF0DE8E39	2002	8/16/2001	63	5/13/2002	104	270	41	0.151851852
fall	3D9.1BF0DE8ED7	2002	8/21/2001	67	5/23/2002	116	275	49	0.178181818
fall	3D9.1BF0DE8F3D	2002	8/21/2001	75	5/17/2002	117	269	42	0.156133829
fall	3D9.1BF0DE90DF	2002	8/25/2001	69	6/4/2002	103	283	34	0.120141343
fall	3D9.1BF0DE921A	2002	8/17/2001	67	6/9/2002	110	296	43	0.14527027
fall	3D9.1BF0DE9340	2002	8/25/2001	62	5/2/2002	110	250	48	0.192
fall	3D9.1BF0DE965C	2002	8/21/2001	77	5/4/2002	113	256	36	0.140625
fall	3D9.1BF0DE98C0	2002	8/22/2001	74	5/15/2002	112	266	38	0.142857143
fall	3D9.1BF0DE98E4	2002	8/21/2001	71	5/17/2002	115	269	44	0.163568773
fall	3D9.1BF0DE9A0D	2002	8/22/2001	86	5/20/2002	122	271	36	0.132841328
fall	3D9.1BF0DE9AA4	2002	8/17/2001	60	5/28/2002	97	284	37	0.13028169
fall	3D9.1BF0DE9ACD	2002	8/21/2001	73	5/4/2002	106	256	33	0.12890625
fall	3D9.1BF0DE9BE4	2002	8/21/2001	76	5/4/2002	114	256	38	0.1484375
fall	3D9.1BF0DE9C47	2002	8/21/2001	70	5/4/2002	99	256	29	0.11328125
fall	3D9.1BF0DE9E6F	2002	8/21/2001	80	6/4/2002	114	287	34	0.118466899
fall	3D9.1BF0DE9F31	2002	8/21/2001	63	5/15/2002	106	267	43	0.161048689
fall	3D9.1BF0DEA1DA	2002	8/21/2001	81	5/4/2002	112	256	31	0.12109375
fall	3D9.1BF0DEA3D3	2002	8/17/2001	73	5/4/2002	111	260	38	0.146153846
fall	3D9.1BF0DEA5FC	2002	8/21/2001	64	5/13/2002	106	265	42	0.158490566
fall	3D9.1BF0DEA659	2002	8/25/2001	72	4/28/2002	118	246	46	0.18699187
fall	3D9.1BF0DEA89F	2002	8/21/2001	70	5/2/2002	96	254	26	0.102362205
fall	3D9.1BF0DEA8AF	2002	8/24/2001	64	5/20/2002	115	269	51	0.189591078
fall	3D9.1BF0DEA9BF	2002	8/21/2001	64	5/20/2002	116	272	52	0.191176471
fall	3D9.1BF0DEAA15	2002	8/21/2001	75	5/4/2002	113	256	38	0.1484375
fall	3D9.1BF0DEAABE	2002	8/21/2001	57	6/2/2002	117	285	60	0.210526316
fall	3D9.1BF0DEAAE1	2002	8/17/2001	75	5/17/2002	115	273	40	0.146520147
fall	3D9.1BF0DEAB40	2002	8/21/2001	78	4/30/2002	106	252	28	0.111111111
fall	3D9.1BF0DEAB62	2002	8/21/2001	83	5/6/2002	109	258	26	0.100775194
fall	3D9.1BF0DEAB7E	2002	8/21/2001	NA	4/28/2002	99	250	NA	NA
fall	3D9.1BF0DEACA4	2002	8/25/2001	62	5/26/2002	111	274	49	0.178832117
fall	3D9.1BF0DEADAA	2002	8/21/2001	59	5/26/2002	105	278	46	0.165467626
fall	3D9.1BF0DEAEC0	2002	8/21/2001	60	5/23/2002	105	275	45	0.163636364
fall	3D9.1BF0DEAF3D	2002	8/21/2001	78	4/30/2002	108	252	30	0.119047619
fall	3D9.1BF0DEAF5F	2002	8/21/2001	74	5/5/2002	106	257	32	0.124513619
